source,name,label,state
meld_part2,dia74_utt9,sad,train
meld_part1,dia888_utt14,happy,train
ravdess,03-01-05-02-02-02-11,angry,train
meld_part1,dia916_utt7,neutral,train
crema_d,1043_IEO_ANG_LO,angry,train
crema_d,1011_MTI_NEU_XX,neutral,train
meld_part3,dia59_utt1,neutral,train
crema_d,1032_DFA_SAD_XX,sad,train
meld_part3,dia244_utt19,neutral,train
crema_d,1028_IWW_SAD_XX,sad,train
meld_part1,dia886_utt17,happy,train
crema_d,1056_TAI_ANG_XX,angry,train
meld_part1,dia29_utt1,happy,train
crema_d,1065_TAI_DIS_XX,disgust,train
tess,YAF_tough_neutral,neutral,train
meld_part1,dia853_utt12,angry,train
ravdess,03-01-07-02-01-02-03,disgust,train
crema_d,1066_IWW_DIS_XX,disgust,train
crema_d,1053_TSI_SAD_XX,sad,train
crema_d,1049_WSI_DIS_XX,disgust,train
meld_part1,dia202_utt13,neutral,train
meld_part3,dia258_utt9,happy,train
crema_d,1035_IWL_HAP_XX,happy,train
crema_d,1059_DFA_FEA_XX,fear,train
crema_d,1065_IOM_NEU_XX,neutral,train
tess,YAF_perch_angry,angry,train
meld_part1,dia561_utt8,neutral,train
crema_d,1016_ITH_SAD_XX,sad,train
tess,OAF_dab_happy,happy,train
meld_part1,dia553_utt13,neutral,train
tess,YAF_tool_happy,happy,train
crema_d,1030_DFA_HAP_XX,happy,train
meld_part1,dia25_utt9,neutral,train
crema_d,1043_WSI_NEU_XX,neutral,train
meld_part1,dia478_utt0,neutral,train
crema_d,1017_WSI_SAD_XX,sad,train
meld_part1,dia1005_utt21,disgust,train
crema_d,1047_TAI_FEA_XX,fear,train
crema_d,1058_TAI_DIS_XX,disgust,train
meld_part2,dia104_utt3,neutral,train
crema_d,1042_DFA_FEA_XX,fear,train
crema_d,1079_IOM_HAP_XX,happy,train
meld_part1,dia851_utt0,neutral,train
meld_part3,dia22_utt13,happy,train
meld_part1,dia933_utt2,neutral,train
meld_part1,dia775_utt0,neutral,train
meld_part1,dia425_utt4,surprise,train
crema_d,1050_IWW_SAD_XX,sad,train
meld_part1,dia551_utt6,neutral,train
tess,OAF_date_angry,angry,train
meld_part3,dia175_utt18,disgust,train
tess,YAF_bought_sad,sad,train
crema_d,1022_MTI_HAP_XX,happy,train
meld_part1,dia308_utt1,happy,train
meld_part1,dia40_utt5,neutral,train
crema_d,1002_IEO_FEA_MD,fear,train
meld_part1,dia990_utt16,happy,train
crema_d,1081_TSI_DIS_XX,disgust,train
crema_d,1025_TAI_SAD_XX,sad,train
meld_part1,dia126_utt6,neutral,train
tess,YAF_lot_neutral,neutral,train
tess,OAF_gap_fear,fear,train
tess,YAF_king_disgust,disgust,train
crema_d,1048_IEO_SAD_HI,sad,train
ravdess,03-01-05-02-01-01-09,angry,train
meld_part1,dia782_utt11,neutral,train
ravdess,03-01-08-02-02-02-23,surprise,train
meld_part3,dia42_utt3,surprise,train
crema_d,1049_IEO_SAD_MD,sad,train
tess,YAF_ring_fear,fear,train
crema_d,1023_TIE_FEA_XX,fear,train
meld_part1,dia966_utt2,neutral,train
meld_part3,dia25_utt5,surprise,train
meld_part2,dia42_utt3,neutral,train
ravdess,03-01-03-02-01-02-16,happy,train
crema_d,1084_TSI_ANG_XX,angry,train
crema_d,1062_IEO_FEA_LO,fear,train
crema_d,1084_WSI_SAD_XX,sad,train
crema_d,1081_DFA_NEU_XX,neutral,train
tess,OAF_hate_fear,fear,train
crema_d,1062_TSI_HAP_XX,happy,train
crema_d,1018_TIE_DIS_XX,disgust,train
crema_d,1079_TAI_DIS_XX,disgust,train
crema_d,1088_WSI_ANG_XX,angry,train
crema_d,1031_IEO_FEA_MD,fear,train
crema_d,1004_IEO_DIS_MD,disgust,train
crema_d,1090_IEO_FEA_LO,fear,train
meld_part3,dia42_utt4,neutral,train
crema_d,1017_IEO_HAP_HI,happy,train
meld_part1,dia959_utt5,neutral,train
meld_part3,dia208_utt7,sad,train
crema_d,1069_TIE_HAP_XX,happy,train
crema_d,1065_IEO_FEA_MD,fear,train
meld_part1,dia836_utt5,neutral,train
crema_d,1001_TIE_SAD_XX,sad,train
crema_d,1053_IEO_HAP_HI,happy,train
meld_part3,dia267_utt3,sad,train
crema_d,1037_IWL_ANG_XX,angry,train
meld_part1,dia264_utt15,happy,train
tess,YAF_sub_sad,sad,train
tess,YAF_kick_neutral,neutral,train
meld_part1,dia818_utt2,happy,train
crema_d,1016_DFA_DIS_XX,disgust,train
tess,YAF_numb_fear,fear,train
crema_d,1055_IWW_HAP_XX,happy,train
meld_part1,dia473_utt4,neutral,train
meld_part1,dia851_utt13,happy,train
meld_part3,dia249_utt7,happy,train
tess,YAF_chief_happy,happy,train
meld_part1,dia196_utt2,surprise,train
crema_d,1029_WSI_HAP_XX,happy,train
meld_part1,dia457_utt5,surprise,train
crema_d,1077_ITS_HAP_XX,happy,train
tess,OAF_hit_fear,fear,train
crema_d,1057_DFA_ANG_XX,angry,train
crema_d,1029_TAI_ANG_XX,angry,train
crema_d,1045_ITH_ANG_XX,angry,train
meld_part1,dia136_utt1,neutral,train
crema_d,1027_TAI_NEU_XX,neutral,train
meld_part1,dia659_utt8,neutral,train
meld_part3,dia2_utt6,angry,train
meld_part1,dia611_utt12,neutral,train
meld_part3,dia255_utt4,happy,train
tess,YAF_pass_neutral,neutral,train
tess,YAF_sail_disgust,disgust,train
meld_part1,dia449_utt12,sad,train
meld_part1,dia898_utt0,happy,train
meld_part3,dia65_utt2,neutral,train
meld_part1,dia388_utt15,neutral,train
meld_part3,dia106_utt0,angry,train
crema_d,1031_TIE_HAP_XX,happy,train
meld_part1,dia992_utt11,neutral,train
meld_part1,dia54_utt18,happy,train
crema_d,1043_IOM_DIS_XX,disgust,train
meld_part1,dia321_utt3,neutral,train
meld_part3,dia238_utt2,neutral,train
meld_part1,dia503_utt10,neutral,train
meld_part3,dia208_utt2,neutral,train
crema_d,1029_IWL_NEU_XX,neutral,train
crema_d,1013_IWW_FEA_XX,fear,train
crema_d,1060_ITS_DIS_XX,disgust,train
meld_part1,dia1008_utt7,neutral,train
meld_part1,dia452_utt0,neutral,train
meld_part3,dia90_utt3,sad,train
meld_part2,dia82_utt1,angry,train
crema_d,1029_IEO_DIS_HI,disgust,train
meld_part1,dia356_utt6,sad,train
meld_part1,dia481_utt6,neutral,train
meld_part1,dia26_utt12,neutral,train
meld_part2,dia18_utt6,fear,train
ravdess,03-01-08-01-01-02-24,surprise,train
meld_part1,dia507_utt11,neutral,train
meld_part3,dia123_utt0,neutral,train
tess,OAF_boat_sad,sad,train
crema_d,1001_MTI_ANG_XX,angry,train
meld_part1,dia697_utt1,surprise,train
meld_part3,dia203_utt7,neutral,train
meld_part2,dia19_utt18,sad,train
tess,YAF_thumb_sad,sad,train
meld_part3,dia121_utt0,happy,train
tess,OAF_page_happy,happy,train
crema_d,1043_IEO_DIS_MD,disgust,train
meld_part1,dia916_utt0,happy,train
meld_part3,dia14_utt1,happy,train
crema_d,1045_TAI_NEU_XX,neutral,train
meld_part2,dia85_utt4,happy,train
crema_d,1007_IWL_HAP_XX,happy,train
crema_d,1042_MTI_DIS_XX,disgust,train
crema_d,1016_DFA_SAD_XX,sad,train
tess,YAF_kill_angry,angry,train
crema_d,1013_WSI_NEU_XX,neutral,train
meld_part1,dia270_utt3,neutral,train
crema_d,1076_TSI_HAP_XX,happy,train
meld_part1,dia435_utt8,happy,train
meld_part1,dia181_utt3,surprise,train
meld_part3,dia73_utt1,neutral,train
meld_part1,dia5_utt1,neutral,train
tess,YAF_merge_neutral,neutral,train
crema_d,1066_WSI_FEA_XX,fear,train
meld_part2,dia49_utt0,angry,train
crema_d,1040_IEO_SAD_MD,sad,train
tess,OAF_gap_disgust,disgust,train
crema_d,1046_DFA_HAP_XX,happy,train
meld_part1,dia992_utt13,neutral,train
meld_part1,dia529_utt0,angry,train
crema_d,1039_DFA_ANG_XX,angry,train
crema_d,1047_IOM_SAD_XX,sad,train
crema_d,1079_IEO_HAP_MD,happy,train
tess,YAF_pearl_angry,angry,train
ravdess,03-01-06-02-01-02-14,fear,train
meld_part1,dia107_utt6,neutral,train
meld_part1,dia867_utt3,angry,train
tess,OAF_wife_angry,angry,train
meld_part1,dia539_utt6,sad,train
meld_part1,dia501_utt4,happy,train
meld_part1,dia660_utt5,sad,train
crema_d,1032_TSI_NEU_XX,neutral,train
meld_part1,dia552_utt4,neutral,train
meld_part1,dia207_utt12,neutral,train
meld_part1,dia686_utt2,neutral,train
meld_part3,dia38_utt2,neutral,train
crema_d,1087_MTI_HAP_XX,happy,train
meld_part1,dia736_utt5,neutral,train
crema_d,1026_TIE_DIS_XX,disgust,train
meld_part1,dia676_utt5,sad,train
crema_d,1019_TIE_SAD_XX,sad,train
crema_d,1038_TSI_ANG_XX,angry,train
meld_part2,dia89_utt4,neutral,train
tess,YAF_match_fear,fear,train
meld_part3,dia7_utt1,neutral,train
meld_part1,dia66_utt3,neutral,train
meld_part1,dia923_utt0,neutral,train
meld_part1,dia886_utt20,neutral,train
meld_part1,dia434_utt6,happy,train
crema_d,1013_IEO_FEA_LO,fear,train
meld_part1,dia180_utt0,happy,train
meld_part1,dia1027_utt5,angry,train
crema_d,1029_IEO_SAD_HI,sad,train
meld_part1,dia187_utt6,neutral,train
meld_part1,dia772_utt9,happy,train
ravdess,03-01-07-02-02-01-09,disgust,train
meld_part3,dia13_utt4,neutral,train
crema_d,1063_WSI_FEA_XX,fear,train
meld_part1,dia232_utt12,surprise,train
crema_d,1068_ITS_DIS_XX,disgust,train
ravdess,03-01-03-02-02-01-19,happy,train
meld_part2,dia1_utt13,happy,train
crema_d,1058_ITH_SAD_XX,sad,train
meld_part3,dia65_utt5,neutral,train
meld_part1,dia704_utt0,neutral,train
crema_d,1072_IWW_ANG_XX,angry,train
meld_part1,dia170_utt4,disgust,train
ravdess,03-01-06-02-02-01-21,fear,train
tess,YAF_soup_fear,fear,train
meld_part3,dia237_utt6,angry,train
meld_part3,dia22_utt17,happy,train
crema_d,1067_DFA_HAP_XX,happy,train
meld_part1,dia59_utt3,happy,train
tess,OAF_burn_sad,sad,train
crema_d,1058_TAI_ANG_XX,angry,train
meld_part3,dia254_utt5,angry,train
meld_part1,dia672_utt12,angry,train
meld_part1,dia324_utt4,neutral,train
crema_d,1004_TSI_FEA_XX,fear,train
meld_part1,dia839_utt7,neutral,train
meld_part1,dia649_utt20,neutral,train
crema_d,1025_IWW_FEA_XX,fear,train
meld_part1,dia886_utt21,neutral,train
meld_part3,dia178_utt1,neutral,train
crema_d,1024_ITH_FEA_XX,fear,train
meld_part1,dia872_utt6,neutral,train
meld_part1,dia464_utt17,sad,train
tess,OAF_calm_fear,fear,train
meld_part1,dia932_utt4,angry,train
meld_part1,dia126_utt10,neutral,train
crema_d,1029_IEO_ANG_LO,angry,train
meld_part3,dia244_utt17,neutral,train
crema_d,1081_TIE_HAP_XX,happy,train
meld_part1,dia9_utt10,neutral,train
meld_part1,dia324_utt7,neutral,train
meld_part1,dia414_utt0,neutral,train
meld_part1,dia49_utt18,surprise,train
meld_part1,dia252_utt10,neutral,train
tess,OAF_ripe_ps,surprise,train
crema_d,1017_TIE_FEA_XX,fear,train
meld_part1,dia956_utt1,neutral,train
meld_part1,dia58_utt5,surprise,train
meld_part2,dia104_utt10,surprise,train
ravdess,03-01-06-01-01-02-12,fear,train
crema_d,1045_TAI_ANG_XX,angry,train
crema_d,1083_MTI_NEU_XX,neutral,train
meld_part1,dia165_utt13,neutral,train
meld_part1,dia591_utt1,neutral,train
meld_part1,dia592_utt6,neutral,train
crema_d,1090_ITS_HAP_XX,happy,train
tess,YAF_lot_fear,fear,train
tess,YAF_live_ps,surprise,train
meld_part1,dia170_utt6,disgust,train
crema_d,1085_IEO_HAP_HI,happy,train
crema_d,1028_TAI_ANG_XX,angry,train
ravdess,03-01-04-01-02-01-10,sad,train
meld_part1,dia448_utt3,angry,train
meld_part1,dia509_utt7,neutral,train
tess,OAF_calm_disgust,disgust,train
meld_part3,dia175_utt7,neutral,train
meld_part3,dia58_utt11,neutral,train
meld_part2,dia27_utt7,neutral,train
meld_part1,dia861_utt8,angry,train
meld_part1,dia431_utt14,angry,train
crema_d,1021_TIE_ANG_XX,angry,train
meld_part2,dia11_utt12,angry,train
meld_part2,dia104_utt1,sad,train
crema_d,1018_DFA_NEU_XX,neutral,train
crema_d,1032_WSI_FEA_XX,fear,train
meld_part2,dia16_utt10,sad,train
crema_d,1047_MTI_DIS_XX,disgust,train
crema_d,1007_IWL_SAD_XX,sad,train
meld_part1,dia414_utt7,happy,train
ravdess,03-01-06-01-02-02-20,fear,train
crema_d,1071_ITH_NEU_XX,neutral,train
tess,OAF_hush_disgust,disgust,train
ravdess,03-01-08-01-02-01-01,surprise,train
meld_part1,dia192_utt1,neutral,train
meld_part3,dia65_utt1,neutral,train
meld_part1,dia562_utt4,neutral,train
crema_d,1012_ITH_FEA_XX,fear,train
meld_part1,dia428_utt2,happy,train
meld_part3,dia98_utt11,neutral,train
meld_part1,dia953_utt15,surprise,train
crema_d,1031_TIE_FEA_XX,fear,train
crema_d,1043_TSI_ANG_XX,angry,train
meld_part1,dia101_utt1,surprise,train
ravdess,03-01-02-01-02-02-03,calm,train
ravdess,03-01-01-01-01-01-03,neutral,train
crema_d,1003_ITS_DIS_XX,disgust,train
ravdess,03-01-03-01-01-01-13,happy,train
meld_part1,dia612_utt7,neutral,train
meld_part1,dia603_utt12,neutral,train
meld_part1,dia826_utt0,happy,train
crema_d,1056_TSI_FEA_XX,fear,train
meld_part3,dia52_utt4,neutral,train
meld_part1,dia978_utt0,surprise,train
tess,YAF_loaf_neutral,neutral,train
meld_part1,dia361_utt8,neutral,train
crema_d,1004_DFA_SAD_XX,sad,train
meld_part1,dia984_utt2,neutral,train
ravdess,03-01-01-01-01-01-20,neutral,train
meld_part3,dia257_utt4,happy,train
ravdess,03-01-02-02-02-01-08,calm,train
meld_part2,dia58_utt10,neutral,train
meld_part1,dia327_utt0,angry,train
crema_d,1029_IOM_FEA_XX,fear,train
crema_d,1045_IWL_DIS_XX,disgust,train
meld_part1,dia139_utt3,happy,train
meld_part1,dia113_utt0,neutral,train
tess,OAF_five_happy,happy,train
crema_d,1009_ITH_SAD_XX,sad,train
meld_part1,dia791_utt2,neutral,train
crema_d,1058_ITS_HAP_XX,happy,train
meld_part3,dia226_utt5,surprise,train
meld_part1,dia576_utt8,neutral,train
crema_d,1029_ITH_ANG_XX,angry,train
tess,OAF_tool_sad,sad,train
crema_d,1080_MTI_FEA_XX,fear,train
crema_d,1008_DFA_HAP_XX,happy,train
meld_part1,dia551_utt0,neutral,train
meld_part1,dia309_utt3,neutral,train
meld_part3,dia54_utt0,neutral,train
crema_d,1079_MTI_DIS_XX,disgust,train
meld_part1,dia577_utt4,neutral,train
ravdess,03-01-03-01-01-01-12,happy,train
tess,OAF_live_disgust,disgust,train
meld_part2,dia105_utt11,angry,train
ravdess,03-01-06-02-01-01-01,fear,train
meld_part1,dia354_utt2,neutral,train
meld_part1,dia31_utt1,neutral,train
meld_part1,dia372_utt12,neutral,train
meld_part3,dia154_utt4,neutral,train
tess,YAF_cause_fear,fear,train
crema_d,1049_TSI_SAD_XX,sad,train
meld_part1,dia861_utt6,neutral,train
ravdess,03-01-05-01-01-02-12,angry,train
tess,OAF_lot_angry,angry,train
meld_part3,dia56_utt10,surprise,train
tess,YAF_mouse_happy,happy,train
meld_part3,dia278_utt10,neutral,train
meld_part1,dia893_utt6,neutral,train
meld_part1,dia844_utt17,surprise,train
meld_part1,dia275_utt5,fear,train
crema_d,1010_TAI_HAP_XX,happy,train
meld_part1,dia541_utt3,surprise,train
ravdess,03-01-06-01-01-02-07,fear,train
meld_part2,dia83_utt5,neutral,train
meld_part1,dia938_utt8,surprise,train
crema_d,1023_TAI_NEU_XX,neutral,train
meld_part1,dia332_utt13,surprise,train
crema_d,1035_TSI_FEA_XX,fear,train
crema_d,1060_ITS_FEA_XX,fear,train
meld_part1,dia277_utt6,neutral,train
crema_d,1058_IOM_ANG_XX,angry,train
tess,YAF_white_disgust,disgust,train
crema_d,1009_IEO_NEU_XX,neutral,train
meld_part2,dia46_utt2,neutral,train
meld_part1,dia99_utt4,neutral,train
crema_d,1076_TIE_SAD_XX,sad,train
crema_d,1055_ITS_ANG_XX,angry,train
meld_part1,dia86_utt5,surprise,train
crema_d,1041_TSI_FEA_XX,fear,train
tess,YAF_wag_disgust,disgust,train
tess,OAF_dodge_angry,angry,train
crema_d,1046_TIE_HAP_XX,happy,train
meld_part1,dia509_utt13,surprise,train
meld_part3,dia161_utt8,neutral,train
meld_part1,dia362_utt5,sad,train
meld_part2,dia85_utt7,happy,train
crema_d,1015_IEO_DIS_LO,disgust,train
meld_part1,dia996_utt7,angry,train
meld_part1,dia482_utt0,surprise,train
tess,OAF_fall_fear,fear,train
meld_part1,dia344_utt10,surprise,train
meld_part1,dia860_utt0,surprise,train
crema_d,1070_IEO_ANG_MD,angry,train
crema_d,1061_IEO_HAP_MD,happy,train
meld_part1,dia179_utt12,neutral,train
meld_part1,dia767_utt4,neutral,train
meld_part3,dia54_utt3,angry,train
meld_part1,dia145_utt7,surprise,train
tess,OAF_lease_disgust,disgust,train
meld_part1,dia128_utt5,happy,train
ravdess,03-01-07-01-01-01-04,disgust,train
meld_part1,dia393_utt4,happy,train
meld_part1,dia795_utt0,surprise,train
tess,OAF_room_neutral,neutral,train
meld_part1,dia695_utt6,happy,train
meld_part1,dia51_utt7,angry,train
meld_part1,dia101_utt0,neutral,train
meld_part1,dia930_utt12,neutral,train
meld_part2,dia93_utt2,neutral,train
meld_part3,dia110_utt1,neutral,train
crema_d,1061_DFA_SAD_XX,sad,train
meld_part1,dia735_utt15,neutral,train
meld_part3,dia9_utt5,neutral,train
meld_part1,dia855_utt1,angry,train
meld_part3,dia134_utt0,surprise,train
crema_d,1049_ITS_SAD_XX,sad,train
tess,YAF_turn_fear,fear,train
meld_part1,dia257_utt0,happy,train
meld_part1,dia657_utt5,neutral,train
meld_part1,dia483_utt2,neutral,train
meld_part3,dia188_utt3,neutral,train
meld_part3,dia184_utt1,surprise,train
crema_d,1030_TIE_FEA_XX,fear,train
crema_d,1063_ITS_ANG_XX,angry,train
meld_part1,dia466_utt4,neutral,train
crema_d,1062_IOM_SAD_XX,sad,train
meld_part1,dia175_utt6,neutral,train
crema_d,1049_DFA_SAD_XX,sad,train
tess,YAF_laud_disgust,disgust,train
meld_part3,dia213_utt8,neutral,train
meld_part3,dia140_utt13,sad,train
meld_part1,dia615_utt9,angry,train
meld_part2,dia89_utt1,angry,train
meld_part1,dia1000_utt1,disgust,train
meld_part3,dia187_utt5,neutral,train
meld_part1,dia283_utt5,neutral,train
ravdess,03-01-07-02-01-01-23,disgust,train
meld_part1,dia520_utt2,surprise,train
tess,YAF_luck_neutral,neutral,train
meld_part1,dia360_utt1,sad,train
tess,YAF_gun_disgust,disgust,train
meld_part1,dia477_utt1,neutral,train
meld_part3,dia144_utt12,angry,train
meld_part2,dia58_utt11,happy,train
crema_d,1089_IEO_FEA_MD,fear,train
crema_d,1083_IEO_FEA_MD,fear,train
meld_part1,dia530_utt7,angry,train
ravdess,03-01-05-02-01-02-10,angry,train
meld_part1,dia163_utt4,surprise,train
meld_part1,dia528_utt1,neutral,train
meld_part1,dia536_utt2,neutral,train
meld_part1,dia228_utt6,neutral,train
meld_part1,dia956_utt14,neutral,train
tess,YAF_time_angry,angry,train
meld_part1,dia52_utt0,neutral,train
meld_part1,dia571_utt11,disgust,train
meld_part1,dia848_utt8,sad,train
meld_part3,dia226_utt6,neutral,train
meld_part1,dia982_utt9,surprise,train
meld_part1,dia927_utt3,neutral,train
meld_part1,dia137_utt3,neutral,train
tess,YAF_numb_disgust,disgust,train
meld_part3,dia70_utt6,neutral,train
meld_part1,dia292_utt0,neutral,train
crema_d,1011_ITS_NEU_XX,neutral,train
meld_part1,dia676_utt9,sad,train
tess,YAF_kill_sad,sad,train
meld_part1,dia804_utt0,fear,train
crema_d,1014_IOM_HAP_XX,happy,train
crema_d,1015_TSI_HAP_XX,happy,train
ravdess,03-01-04-01-01-01-04,sad,train
meld_part1,dia706_utt2,surprise,train
meld_part1,dia59_utt8,happy,train
meld_part1,dia940_utt7,neutral,train
crema_d,1057_IWL_HAP_XX,happy,train
crema_d,1020_IWL_FEA_XX,fear,train
meld_part1,dia398_utt13,neutral,train
tess,YAF_home_sad,sad,train
meld_part1,dia17_utt4,fear,train
meld_part1,dia918_utt1,neutral,train
tess,YAF_pike_disgust,disgust,train
meld_part1,dia978_utt9,neutral,train
meld_part1,dia180_utt8,surprise,train
meld_part3,dia252_utt17,surprise,train
meld_part1,dia989_utt5,neutral,train
meld_part1,dia523_utt8,neutral,train
meld_part1,dia509_utt11,angry,train
meld_part1,dia212_utt9,surprise,train
crema_d,1060_IEO_SAD_HI,sad,train
meld_part2,dia31_utt2,sad,train
crema_d,1019_TSI_HAP_XX,happy,train
crema_d,1046_TSI_NEU_XX,neutral,train
meld_part2,dia14_utt7,sad,train
crema_d,1047_IEO_HAP_MD,happy,train
crema_d,1032_IEO_HAP_HI,happy,train
crema_d,1057_IOM_ANG_XX,angry,train
ravdess,03-01-04-01-02-02-15,sad,train
tess,OAF_bite_angry,angry,train
crema_d,1020_IWL_HAP_XX,happy,train
meld_part1,dia291_utt1,sad,train
meld_part2,dia66_utt6,neutral,train
meld_part1,dia873_utt1,neutral,train
meld_part1,dia412_utt2,neutral,train
meld_part3,dia79_utt1,neutral,train
ravdess,03-01-03-02-02-01-07,happy,train
crema_d,1033_IEO_HAP_LO,happy,train
crema_d,1090_IWL_HAP_XX,happy,train
meld_part1,dia763_utt8,neutral,train
crema_d,1074_IEO_FEA_MD,fear,train
meld_part1,dia2_utt5,neutral,train
tess,YAF_half_angry,angry,train
meld_part2,dia1_utt10,surprise,train
meld_part1,dia626_utt11,neutral,train
crema_d,1025_MTI_ANG_XX,angry,train
meld_part1,dia599_utt12,neutral,train
meld_part1,dia156_utt1,angry,train
meld_part1,dia925_utt6,neutral,train
crema_d,1052_DFA_NEU_XX,neutral,train
meld_part3,dia78_utt1,neutral,train
ravdess,03-01-02-02-02-02-09,calm,train
meld_part2,dia72_utt11,angry,train
meld_part1,dia14_utt2,neutral,train
meld_part1,dia861_utt18,neutral,train
meld_part1,dia852_utt0,neutral,train
meld_part1,dia424_utt3,neutral,train
meld_part1,dia540_utt0,sad,train
meld_part1,dia234_utt10,surprise,train
meld_part1,dia834_utt9,neutral,train
meld_part3,dia99_utt5,neutral,train
ravdess,03-01-08-01-01-01-10,surprise,train
crema_d,1031_ITS_SAD_XX,sad,train
meld_part1,dia905_utt15,disgust,train
crema_d,1068_IEO_NEU_XX,neutral,train
ravdess,03-01-08-02-02-01-06,surprise,train
meld_part1,dia40_utt3,neutral,train
meld_part1,dia429_utt9,surprise,train
meld_part1,dia655_utt0,surprise,train
crema_d,1071_IEO_ANG_LO,angry,train
meld_part2,dia92_utt5,surprise,train
meld_part1,dia703_utt5,surprise,train
meld_part2,dia113_utt12,sad,train
meld_part1,dia525_utt0,neutral,train
tess,YAF_chain_angry,angry,train
tess,YAF_tool_ps,surprise,train
meld_part1,dia106_utt0,neutral,train
meld_part3,dia68_utt10,neutral,train
meld_part1,dia819_utt2,neutral,train
